Turno,Jugador,Acción,Vida,Defensa,Estados
1,Nico,Vida: 15 -> 15, Defensa: 0 -> 1, Estados: {},15,1,{}
1,Nelson,Vida: 15 -> 11, Defensa: 0 -> 0, Estados: {"paralyze":"applied"},11,0,{"paralyze":"applied"}
3,Nelson,Vida: 11 -> 12, Defensa: 0 -> 2, Estados: {},12,2,{}
3,Nico,Vida: 15 -> 13, Defensa: 1 -> 0, Estados: {},13,0,{}
5,Nelson,Vida: 12 -> 11, Defensa: 2 -> 0, Estados: {"fire":"applied"},11,0,{"fire":"applied"}
5,Nico,Vida: 13 -> 13, Defensa: 0 -> 2, Estados: {},13,2,{}
7,Nelson,Vida: 11 -> 10, Defensa: 0 -> 0, Estados: {},10,0,{}
8,Nelson,Vida: 10 -> 6, Defensa: 0 -> 0, Estados: {},6,0,{}
8,Nico,Vida: 13 -> 14, Defensa: 2 -> 4, Estados: {},14,4,{}
10,Nelson,Vida: 6 -> 5, Defensa: 0 -> 5, Estados: {},5,5,{}
10,Nico,Vida: 14 -> 12, Defensa: 4 -> 4, Estados: {},12,4,{}
12,Nico,Vida: 12 -> 14, Defensa: 4 -> 2, Estados: {},14,2,{}
12,Nelson,Vida: 5 -> 5, Defensa: 5 -> 3, Estados: {"paralyze":"applied"},5,3,{"paralyze":"applied"}
14,Nelson,Vida: 5 -> 6, Defensa: 3 -> 4, Estados: {},6,4,{}
14,Nico,Vida: 14 -> 14, Defensa: 2 -> 0, Estados: {},14,0,{}
16,Nelson,Vida: 6 -> 6, Defensa: 4 -> 2, Estados: {},6,2,{}
17,Nelson,Vida: 6 -> 7, Defensa: 2 -> 2, Estados: {},7,2,{}
17,Nico,Vida: 14 -> 10, Defensa: 0 -> 0, Estados: {},10,0,{}
19,Nelson,Vida: 7 -> 7, Defensa: 2 -> 2, Estados: {"paralyze":"applied"},7,2,{"paralyze":"applied"}
20,Nico,Vida: 10 -> 7, Defensa: 0 -> 0, Estados: {"paralyze":"applied"},7,0,{"paralyze":"applied"}
20,Nelson,Vida: 7 -> 7, Defensa: 2 -> 6, Estados: {},7,6,{}
22,Nelson,Vida: 7 -> 7, Defensa: 6 -> 2, Estados: {},7,2,{}
23,Nelson,Vida: 7 -> 7, Defensa: 2 -> 6, Estados: {},7,6,{}
23,Nico,Vida: 7 -> 5, Defensa: 0 -> 0, Estados: {},5,0,{}
25,Nelson,Vida: 7 -> 7, Defensa: 6 -> 4, Estados: {"fire":"applied"},7,4,{"fire":"applied"}
26,Nelson,Vida: 7 -> 7, Defensa: 4 -> 5, Estados: {},7,5,{}
26,Nico,Vida: 5 -> 4, Defensa: 0 -> 0, Estados: {},4,0,{}
28,Nelson,Vida: 7 -> 7, Defensa: 5 -> 4, Estados: {},7,4,{}
29,Nelson,Vida: 7 -> 7, Defensa: 4 -> 4, Estados: {},7,4,{}
29,Nico,Vida: 4 -> 1, Defensa: 0 -> 0, Estados: {"freeze":"applied"},1,0,{"freeze":"applied"}
31,Nico,Vida: 1 -> 0, Defensa: 0 -> 0, Estados: {},0,0,{}
