Turno,Jugador,Acción,Vida,Defensa,Estados
1,ada,Vida: 15 -> undefined, Defensa: 0 -> undefined, Estados: {"bleed":"applied"},,,{"bleed":"applied"}
2,asd,Vida: 15 -> 14, Defensa: 0 -> 0, Estados: {},14,0,{}
3,asd,Vida: 14 -> 13, Defensa: 0 -> 0, Estados: {},13,0,{}
4,asd,Vida: 13 -> 12, Defensa: 0 -> 0, Estados: {},12,0,{}
4,ada,Vida: 15 -> undefined, Defensa: 0 -> undefined, Estados: {"bleed":"applied"},,,{"bleed":"applied"}
6,asd,Vida: 12 -> 11, Defensa: 0 -> 0, Estados: {},11,0,{}
6,ada,Vida: 15 -> undefined, Defensa: 0 -> undefined, Estados: {"bleed":"applied"},,,{"bleed":"applied"}
8,asd,Vida: 11 -> 10, Defensa: 0 -> 0, Estados: {},10,0,{}
9,asd,Vida: 10 -> 9, Defensa: 0 -> 0, Estados: {},9,0,{}
10,asd,Vida: 9 -> 8, Defensa: 0 -> 0, Estados: {},8,0,{}
11,asd,Vida: 8 -> 7, Defensa: 0 -> 0, Estados: {},7,0,{}
12,asd,Vida: 7 -> 18, Defensa: 0 -> 6, Estados: {"bleed":"applied","luck":"applied"},18,6,{"bleed":"applied","luck":"applied"}
13,ada,Vida: 15 -> 14, Defensa: 0 -> 0, Estados: {},14,0,{}
14,ada,Vida: 14 -> 13, Defensa: 0 -> 0, Estados: {},13,0,{}
15,ada,Vida: 13 -> 12, Defensa: 0 -> 0, Estados: {},12,0,{}
16,ada,Vida: 12 -> undefined, Defensa: 0 -> undefined, Estados: {"bleed":"applied"},,,{"bleed":"applied"}
17,asd,Vida: 18 -> 17, Defensa: 6 -> 6, Estados: {},17,6,{}
18,asd,Vida: 17 -> 16, Defensa: 6 -> 6, Estados: {},16,6,{}
19,asd,Vida: 16 -> 15, Defensa: 6 -> 6, Estados: {},15,6,{}
20,asd,Vida: 15 -> undefined, Defensa: 6 -> undefined, Estados: {"freeze":"applied"},,,{"freeze":"applied"}
