Turno,Jugador,Acción,Vida,Defensa,Estados
1,Nelson,Vida: 15 -> 13, Defensa: 0 -> 0, Estados: {},13,0,{}
2,Nelson,Vida: 13 -> 13, Defensa: 0 -> 3, Estados: {},13,3,{}
2,Nico,Vida: 15 -> 12, Defensa: 0 -> 0, Estados: {},12,0,{}
4,Nico,Vida: 12 -> 12, Defensa: 0 -> 2, Estados: {},12,2,{}
4,Nelson,Vida: 13 -> 13, Defensa: 3 -> 1, Estados: {},13,1,{}
6,Nico,Vida: 12 -> 10, Defensa: 2 -> 2, Estados: {"paralyze":"applied"},10,2,{"paralyze":"applied"}
6,Nelson,Vida: 13 -> 13, Defensa: 1 -> 7, Estados: {},13,7,{}
8,Nelson,Vida: 13 -> 13, Defensa: 7 -> 4, Estados: {"bleed":"applied","fire":"applied"},13,4,{"bleed":"applied","fire":"applied"}
9,Nelson,Vida: 13 -> 13, Defensa: 4 -> 6, Estados: {},13,6,{}
9,Nico,Vida: 10 -> 9, Defensa: 2 -> 0, Estados: {},9,0,{}
11,Nelson,Vida: 13 -> 12, Defensa: 6 -> 3, Estados: {},12,3,{}
11,Nico,Vida: 9 -> 9, Defensa: 0 -> 1, Estados: {},9,1,{}
13,Nelson,Vida: 12 -> 11, Defensa: 3 -> 3, Estados: {},11,3,{}
13,Nico,Vida: 9 -> 7, Defensa: 1 -> 0, Estados: {"paralyze":"applied"},7,0,{"paralyze":"applied"}
15,Nico,Vida: 7 -> 5, Defensa: 0 -> 0, Estados: {},5,0,{}
15,Nelson,Vida: 11 -> 11, Defensa: 3 -> 5, Estados: {},11,5,{}
17,Nelson,Vida: 11 -> 11, Defensa: 5 -> 4, Estados: {"paralyze":"applied"},11,4,{"paralyze":"applied"}
17,Nico,Vida: 5 -> 6, Defensa: 0 -> 0, Estados: {},6,0,{}
19,Nico,Vida: 6 -> 4, Defensa: 0 -> 0, Estados: {"paralyze":"applied"},4,0,{"paralyze":"applied"}
19,Nelson,Vida: 11 -> 12, Defensa: 4 -> 5, Estados: {},12,5,{}
21,Nico,Vida: 4 -> undefined, Defensa: 0 -> undefined, Estados: {"luck":"applied"},,,{"luck":"applied"}
21,Nelson,Vida: 12 -> 12, Defensa: 5 -> 1, Estados: {"fire":"applied","paralyze":"applied"},12,1,{"fire":"applied","paralyze":"applied"}
23,Nelson,Vida: 12 -> 12, Defensa: 1 -> 0, Estados: {},12,0,{}
24,Nelson,Vida: 12 -> 8, Defensa: 0 -> 0, Estados: {"bleed":"applied"},8,0,{"bleed":"applied"}
25,Nelson,Vida: 8 -> 6, Defensa: 0 -> 0, Estados: {},6,0,{}
26,Nelson,Vida: 6 -> 5, Defensa: 0 -> 0, Estados: {},5,0,{}
27,Nelson,Vida: 5 -> 4, Defensa: 0 -> 0, Estados: {},4,0,{}
27,Nico,Vida: 4 -> undefined, Defensa: 0 -> undefined, Estados: {"freeze":"applied"},,,{"freeze":"applied"}
29,Nelson,Vida: 4 -> 4, Defensa: 0 -> 2, Estados: {},4,2,{}
