Turno,Jugador,Acción,Vida,Defensa,Estados
1,Nico,Vida: 15 -> 15, Defensa: 0 -> 1, Estados: {},15,1,{}
1,Nelson,Vida: 15 -> 11, Defensa: 0 -> 0, Estados: {"bleed":"applied"},11,0,{"bleed":"applied"}
3,Nelson,Vida: 11 -> 10, Defensa: 0 -> 6, Estados: {},10,6,{}
3,Nico,Vida: 15 -> 14, Defensa: 1 -> 0, Estados: {},14,0,{}
5,Nelson,Vida: 10 -> 9, Defensa: 6 -> 4, Estados: {},9,4,{}
5,Nico,Vida: 14 -> 14, Defensa: 0 -> 4, Estados: {},14,4,{}
7,Nelson,Vida: 9 -> 8, Defensa: 4 -> 6, Estados: {},8,6,{}
7,Nico,Vida: 14 -> 14, Defensa: 4 -> 2, Estados: {},14,2,{}
9,Nelson,Vida: 8 -> 8, Defensa: 6 -> 2, Estados: {"paralyze":"applied"},8,2,{"paralyze":"applied"}
9,Nico,Vida: 14 -> undefined, Defensa: 2 -> undefined, Estados: {"luck":"applied"},,,{"luck":"applied"}
11,Nico,Vida: 14 -> 15, Defensa: 2 -> 2, Estados: {},15,2,{}
11,Nelson,Vida: 8 -> 6, Defensa: 2 -> 0, Estados: {},6,0,{}
13,Nelson,Vida: 6 -> 7, Defensa: 0 -> 4, Estados: {},7,4,{}
13,Nico,Vida: 15 -> 13, Defensa: 2 -> 0, Estados: {"paralyze":"applied"},13,0,{"paralyze":"applied"}
15,Nelson,Vida: 7 -> 7, Defensa: 4 -> 1, Estados: {"bleed":"applied"},7,1,{"bleed":"applied"}
15,Nico,Vida: 13 -> undefined, Defensa: 0 -> undefined, Estados: {"luck":"applied"},,,{"luck":"applied"}
17,Nelson,Vida: 7 -> 6, Defensa: 1 -> 3, Estados: {},6,3,{}
17,Nico,Vida: 13 -> 11, Defensa: 0 -> 0, Estados: {},11,0,{}
19,Nelson,Vida: 6 -> 5, Defensa: 3 -> 0, Estados: {},5,0,{}
19,Nico,Vida: 11 -> 11, Defensa: 0 -> 3, Estados: {},11,3,{}
21,Nelson,Vida: 5 -> 4, Defensa: 0 -> 2, Estados: {},4,2,{}
21,Nico,Vida: 11 -> 11, Defensa: 3 -> 2, Estados: {},11,2,{}
23,Nelson,Vida: 4 -> 3, Defensa: 2 -> 0, Estados: {},3,0,{}
24,Nelson,Vida: 3 -> 3, Defensa: 0 -> 4, Estados: {},3,4,{}
24,Nico,Vida: 11 -> 10, Defensa: 2 -> 0, Estados: {},10,0,{}
26,Nelson,Vida: 3 -> 4, Defensa: 4 -> 3, Estados: {"freeze":"applied"},4,3,{"freeze":"applied"}
26,Nico,Vida: 10 -> 7, Defensa: 0 -> 0, Estados: {},7,0,{}
28,Nelson,Vida: 4 -> 3, Defensa: 3 -> 1, Estados: {"fire":"applied"},3,1,{"fire":"applied"}
28,Nico,Vida: 7 -> 5, Defensa: 0 -> 0, Estados: {},5,0,{}
30,Nelson,Vida: 3 -> 1, Defensa: 1 -> 0, Estados: {},1,0,{}
31,Nelson,Vida: 1 -> 0, Defensa: 0 -> 0, Estados: {},0,0,{}
